City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness
0,ardakan,IR,2021-06-07 03:21:48,32.31,54.0175,89.98,9,0
1,shubarkuduk,KZ,2021-06-07 03:21:49,49.1447,56.4872,67.37,40,100
2,ushuaia,AR,2021-06-07 03:21:36,-54.8,-68.3,44.26,61,40
3,saint-pierre,RE,2021-06-07 03:17:21,-21.3393,55.4781,69.48,89,75
4,nikolskoye,RU,2021-06-07 03:21:49,59.7035,30.7861,62.8,81,97
5,matara,LK,2021-06-07 03:21:49,5.9485,80.5353,82.29,81,95
6,port elizabeth,ZA,2021-06-07 03:21:49,-33.918,25.5701,53.89,47,0
7,nouakchott,MR,2021-06-07 03:17:47,18.0858,-15.9785,75.13,34,4
8,nehe,CN,2021-06-07 03:21:50,48.4833,124.8333,74.25,41,3
9,east london,ZA,2021-06-07 03:21:50,-33.0153,27.9116,62.4,39,0
10,talnakh,RU,2021-06-07 03:21:50,69.4865,88.3972,32.32,95,100
11,ishinomaki,JP,2021-06-07 03:21:50,38.4167,141.3,69.8,60,96
12,khani,GE,2021-06-07 03:21:51,41.9563,42.9566,47.77,90,4
13,hithadhoo,MV,2021-06-07 03:21:51,-0.6,73.0833,83.12,72,22
14,roebourne,AU,2021-06-07 03:17:14,-20.7833,117.1333,80.19,33,58
15,pisco,PE,2021-06-07 03:21:51,-13.7,-76.2167,62.65,82,90
16,brainerd,US,2021-06-07 03:17:20,46.358,-94.2008,82.18,57,90
17,bredasdorp,ZA,2021-06-07 03:21:52,-34.5322,20.0403,60.12,41,6
18,rikitea,PF,2021-06-07 03:21:52,-23.1203,-134.9692,76.39,85,100
19,salalah,OM,2021-06-07 03:21:52,17.0151,54.0924,84.29,89,75
20,saint george,US,2021-06-07 03:21:52,37.1041,-113.5841,93.79,8,1
21,mataura,NZ,2021-06-07 03:21:53,-46.1927,168.8643,49.48,68,0
22,thaton,MM,2021-06-07 03:21:53,16.9206,97.3714,84.18,72,97
23,busselton,AU,2021-06-07 03:21:53,-33.65,115.3333,59.09,60,34
24,tiksi,RU,2021-06-07 03:21:17,71.6872,128.8694,44.33,61,100
25,bluff,NZ,2021-06-07 03:21:53,-46.6,168.3333,49.8,71,7
