City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness
0,Marinette,US,2021-06-07 05:31:59,45.1,-87.6307,73.49,68,1
1,Ushuaia,AR,2021-06-07 05:31:32,-54.8,-68.3,44.26,61,40
2,Los Llanos De Aridane,ES,2021-06-07 05:32:08,28.6585,-17.9182,64.15,82,90
3,Albany,US,2021-06-07 05:30:01,42.6001,-73.9662,70.79,81,11
4,Kapaa,US,2021-06-07 05:32:08,22.0752,-159.319,82.38,77,75
5,Hilo,US,2021-06-07 05:32:08,19.7297,-155.09,75.27,84,90
6,Canutama,BR,2021-06-07 05:32:09,-6.5339,-64.3831,72.23,99,100
7,Punta Arenas,CL,2021-06-07 05:32:09,-53.15,-70.9167,37.51,81,0
8,Waipawa,NZ,2021-06-07 05:32:09,-41.4122,175.5153,54.03,86,94
9,Shelburne,CA,2021-06-07 05:32:09,44.0787,-80.2041,70.12,53,21
10,Avarua,CK,2021-06-07 05:32:10,-21.2078,-159.775,68.05,83,94
11,Porto Novo,BJ,2021-06-07 05:32:10,6.4965,2.6036,80.42,88,69
12,Kununurra,AU,2021-06-07 05:32:10,-15.7667,128.7333,87.78,18,15
13,Igrim,RU,2021-06-07 05:32:10,63.1906,64.4162,52.74,34,76
14,Petropavlovsk-Kamchatskiy,RU,2021-06-07 05:31:03,53.0452,158.6483,46.99,87,75
15,Thompson,CA,2021-06-07 05:32:11,55.7435,-97.8558,50.16,87,75
16,Hami,CN,2021-06-07 05:28:11,42.8,93.45,79.93,10,2
17,Champerico,GT,2021-06-07 05:32:11,14.3,-91.9167,82.35,78,27
18,Boa Vista,BR,2021-06-07 05:32:11,2.8197,-60.6733,80.58,78,75
19,Katsuura,JP,2021-06-07 05:32:11,35.1333,140.3,75.31,67,99
20,Saint-Philippe,RE,2021-06-07 05:32:12,-21.3585,55.7679,74.75,81,97
21,Esperance,AU,2021-06-07 05:32:12,-33.8667,121.9,60.64,66,84
22,Qaanaaq,GL,2021-06-07 05:32:12,77.484,-69.3632,38.19,72,34
23,Kamenka,RU,2021-06-07 05:32:12,51.3223,42.7678,65.28,72,88
24,Bengkulu,ID,2021-06-07 05:32:13,-3.8004,102.2655,83.98,65,67
25,Yerbogachen,RU,2021-06-07 05:32:13,61.2767,108.0108,51.51,53,80
26,Vatne,NO,2021-06-07 05:32:13,62.5667,6.65,54.59,88,24
27,Butaritari,KI,2021-06-07 05:32:13,3.0707,172.7902,81.82,75,38
28,Cabo San Lucas,MX,2021-06-07 05:32:14,22.8909,-109.9124,84.4,65,33
29,Grand Bank,CA,2021-06-07 05:32:14,47.0999,-55.765,44.65,77,100
30,La Orilla,MX,2021-06-07 05:32:14,17.9833,-102.2333,80.33,80,98
31,Bay City,US,2021-06-07 05:29:47,43.5945,-83.8889,78.8,59,20
32,Bluff,NZ,2021-06-07 05:32:14,-46.6,168.3333,49.8,77,9
33,Rio Gallegos,AR,2021-06-07 05:32:15,-51.6226,-69.2181,35.65,93,0
34,Arraial Do Cabo,BR,2021-06-07 05:29:18,-22.9661,-42.0278,71.76,86,18
35,Airai,TL,2021-06-07 05:32:15,-8.9266,125.4092,73.38,49,91
36,Carnarvon,AU,2021-06-07 05:32:15,-24.8667,113.6333,78.87,47,100
37,Samarai,PG,2021-06-07 05:32:16,-10.6167,150.6667,76.8,92,100
38,Dzaoudzi,YT,2021-06-07 05:32:16,-12.7887,45.2699,80.49,74,75
